task_id,method,entry_point,prompt,completion,candidate_code,syntax_ok,passed,failure_type,error,elapsed_sec
HumanEval/0,deepseek_enhanced,has_close_elements,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
","    return False


if __name__ == ""__main__"":
    import doctest
    doctest.testmod()","from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    return False
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmpraya8sdw/candidate_eval.py"", line 32, in <module>
    check(has_close_elements)
  File ""/tmp/tmpraya8sdw/candidate_eval.py"", line 23, in check
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3) == True
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError",0.0558
HumanEval/1,deepseek_enhanced,separate_paren_groups,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
","    pass


if __name__ == '__main__':
    import doctest
    doctest.testmod()","from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
    pass
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmp7lu1og71/candidate_eval.py"", line 34, in <module>
    check(separate_paren_groups)
  File ""/tmp/tmp7lu1og71/candidate_eval.py"", line 23, in check
    assert candidate('(()()) ((())) () ((())()())') == [
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError",0.0543
HumanEval/2,deepseek_enhanced,truncate_number,"

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
","    return number - int(number)


def truncate_number_test():
    """"""
    Test the truncate_number function.
    """"""
    assert truncate_number(3.5) == 0.5
    assert truncate_number(3.4) == 0.4
    assert truncate_number(3.3) == 0.3
    assert truncate_number(3.2) == 0.2
    assert truncate_number(3.1) == 0.1
    assert truncate_number(3.0) == ","

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
    return number - int(number)
",True,True,none,,0.055
HumanEval/3,deepseek_enhanced,below_zero,"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
","    pass


if __name__ == ""__main__"":
    import doctest

    doctest.testmod()","from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
    pass
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmpt4p_3bab/candidate_eval.py"", line 31, in <module>
    check(below_zero)
  File ""/tmp/tmpt4p_3bab/candidate_eval.py"", line 24, in check
    assert candidate([]) == False
           ^^^^^^^^^^^^^^^^^^^^^^
AssertionError",0.0556
HumanEval/4,deepseek_enhanced,mean_absolute_deviation,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
","    pass


if __name__ == ""__main__"":
    import doctest
    doctest.testmod()","from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
    pass
",True,False,runtime_error,"Traceback (most recent call last):
  File ""/tmp/tmp7k5vhgxj/candidate_eval.py"", line 29, in <module>
    check(mean_absolute_deviation)
  File ""/tmp/tmp7k5vhgxj/candidate_eval.py"", line 24, in check
    assert abs(candidate([1.0, 2.0, 3.0]) - 2.0/3.0) < 1e-6
               ~~~~~~~~~~~~~~~~~~~~~~~~~~~^~~~~~~~~
TypeError: unsupported operand type(s) for -: 'NoneType' and 'float'",0.0547
HumanEval/5,deepseek_enhanced,intersperse,"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
","    return []


if __name__ == ""__main__"":
    import doctest
    doctest.testmod()","from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
    return []
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmpm_j2shpo/candidate_eval.py"", line 26, in <module>
    check(intersperse)
  File ""/tmp/tmpm_j2shpo/candidate_eval.py"", line 23, in check
    assert candidate([5, 6, 3, 2], 8) == [5, 8, 6, 8, 3, 8, 2]
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError",0.0559
HumanEval/6,deepseek_enhanced,parse_nested_parens,"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
","    return []


if __name__ == '__main__':
    import doctest
    doctest.testmod()","from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
    return []
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmpstatjhl6/candidate_eval.py"", line 27, in <module>
    check(parse_nested_parens)
  File ""/tmp/tmpstatjhl6/candidate_eval.py"", line 23, in check
    assert candidate('(()()) ((())) () ((())()())') == [2, 3, 1, 3]
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError",0.0819
HumanEval/7,deepseek_enhanced,filter_by_substring,"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
","    return []


if __name__ == '__main__':
    import doctest
    doctest.testmod()","from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
    return []
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmpoicny961/candidate_eval.py"", line 27, in <module>
    check(filter_by_substring)
  File ""/tmp/tmpoicny961/candidate_eval.py"", line 23, in check
    assert candidate(['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx') == ['xxx', 'xxxAAA', 'xxx']
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError",0.0774
HumanEval/8,deepseek_enhanced,sum_product,"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
","    return 0, 1


if __name__ == ""__main__"":
    import doctest
    doctest.testmod()","from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
    return 0, 1
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmpqoc7povx/candidate_eval.py"", line 29, in <module>
    check(sum_product)
  File ""/tmp/tmpqoc7povx/candidate_eval.py"", line 24, in check
    assert candidate([1, 1, 1]) == (3, 1)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError",0.0538
HumanEval/9,deepseek_enhanced,rolling_max,"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
","    return []


def rolling_min(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling minimum element found until given moment
    in the sequence.
    >>> rolling_min([1, 2, 3, 2, 3, 4, 2])
    [1, 1, 1, 2, 2, 2, 2]
    """"""
    # Complete the function implementation. Return the required value.
    return []


def rolling_sum","from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    return []
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmp1t3st4ju/candidate_eval.py"", line 26, in <module>
    check(rolling_max)
  File ""/tmp/tmp1t3st4ju/candidate_eval.py"", line 22, in check
    assert candidate([1, 2, 3, 4]) == [1, 2, 3, 4]
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError",0.0568
HumanEval/10,deepseek_enhanced,make_palindrome,"

def is_palindrome(string: str) -> bool:
    """""" Test if given string is a palindrome """"""
    return string == string[::-1]


def make_palindrome(string: str) -> str:
    """""" Find the shortest palindrome that begins with a supplied string.
    Algorithm idea is simple:
    - Find the longest postfix of supplied string that is a palindrome.
    - Append to the end of the string reverse of a string prefix that comes before the palindromic suffix.
    >>> make_palindrome('')
    ''
    >>> make_palindrome('cat')
    'catac'
    >>> make_palindrome('cata')
    'catac'
    """"""
","    pass


def main():
    """""" Main function """"""
    print(is_palindrome(''))
    print(is_palindrome('cat'))
    print(is_palindrome('cata'))
    print(make_palindrome(''))
    print(make_palindrome('cat'))
    print(make_palindrome('cata'))


if __name__ == '__main__':
    main()","

def is_palindrome(string: str) -> bool:
    """""" Test if given string is a palindrome """"""
    return string == string[::-1]


def make_palindrome(string: str) -> str:
    """""" Find the shortest palindrome that begins with a supplied string.
    Algorithm idea is simple:
    - Find the longest postfix of supplied string that is a palindrome.
    - Append to the end of the string reverse of a string prefix that comes before the palindromic suffix.
    >>> make_palindrome('')
    ''
    >>> make_palindrome('cat')
    'catac'
    >>> make_palindrome('cata')
    'catac'
    """"""
    pass
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmp2c7ddymf/candidate_eval.py"", line 37, in <module>
    check(make_palindrome)
  File ""/tmp/tmp2c7ddymf/candidate_eval.py"", line 31, in check
    assert candidate('') == ''
           ^^^^^^^^^^^^^^^^^^^
AssertionError",0.0563
HumanEval/11,deepseek_enhanced,string_xor,"from typing import List


def string_xor(a: str, b: str) -> str:
    """""" Input are two strings a and b consisting only of 1s and 0s.
    Perform binary XOR on these inputs and return result also as a string.
    >>> string_xor('010', '110')
    '100'
    """"""
","    return '0'


def string_xor_list(a: List[str], b: List[str]) -> List[str]:
    """""" Input are two lists of strings a and b consisting only of 1s and 0s.
    Perform binary XOR on these inputs and return result also as a list of strings.
    >>> string_xor_list(['010', '110'], ['100', '010'])
    ['100', '100']
    """"""
    # Complete the function implementation","from typing import List


def string_xor(a: str, b: str) -> str:
    """""" Input are two strings a and b consisting only of 1s and 0s.
    Perform binary XOR on these inputs and return result also as a string.
    >>> string_xor('010', '110')
    '100'
    """"""
    return '0'
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmp_lng96cf/candidate_eval.py"", line 25, in <module>
    check(string_xor)
  File ""/tmp/tmp_lng96cf/candidate_eval.py"", line 21, in check
    assert candidate('111000', '101010') == '010010'
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError",0.0549
HumanEval/12,deepseek_enhanced,longest,"from typing import List, Optional


def longest(strings: List[str]) -> Optional[str]:
    """""" Out of list of strings, return the longest one. Return the first one in case of multiple
    strings of the same length. Return None in case the input list is empty.
    >>> longest([])

    >>> longest(['a', 'b', 'c'])
    'a'
    >>> longest(['a', 'bb', 'ccc'])
    'ccc'
    """"""
","    pass


if __name__ == '__main__':
    import doctest
    doctest.testmod()","from typing import List, Optional


def longest(strings: List[str]) -> Optional[str]:
    """""" Out of list of strings, return the longest one. Return the first one in case of multiple
    strings of the same length. Return None in case the input list is empty.
    >>> longest([])

    >>> longest(['a', 'b', 'c'])
    'a'
    >>> longest(['a', 'bb', 'ccc'])
    'ccc'
    """"""
    pass
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmpc1vj2xe1/candidate_eval.py"", line 29, in <module>
    check(longest)
  File ""/tmp/tmpc1vj2xe1/candidate_eval.py"", line 26, in check
    assert candidate(['x', 'y', 'z']) == 'x'
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError",0.0551
HumanEval/13,deepseek_enhanced,greatest_common_divisor,"

def greatest_common_divisor(a: int, b: int) -> int:
    """""" Return a greatest common divisor of two integers a and b
    >>> greatest_common_divisor(3, 5)
    1
    >>> greatest_common_divisor(25, 15)
    5
    """"""
","    return 0


def least_common_multiple(a: int, b: int) -> int:
    """""" Return a least common multiple of two integers a and b
    >>> least_common_multiple(3, 5)
    15
    >>> least_common_multiple(25, 15)
    75
    """"""
    # Complete the function implementation. Return the required value.
    return 0


def main():
    """""" Main function
    """"""
    # Complete the function implementation.


if","

def greatest_common_divisor(a: int, b: int) -> int:
    """""" Return a greatest common divisor of two integers a and b
    >>> greatest_common_divisor(3, 5)
    1
    >>> greatest_common_divisor(25, 15)
    5
    """"""
    return 0
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmpavzwuykl/candidate_eval.py"", line 26, in <module>
    check(greatest_common_divisor)
  File ""/tmp/tmpavzwuykl/candidate_eval.py"", line 21, in check
    assert candidate(3, 7) == 1
           ^^^^^^^^^^^^^^^^^^^^
AssertionError",0.0548
HumanEval/14,deepseek_enhanced,all_prefixes,"from typing import List


def all_prefixes(string: str) -> List[str]:
    """""" Return list of all prefixes from shortest to longest of the input string
    >>> all_prefixes('abc')
    ['a', 'ab', 'abc']
    """"""
","    return []


if __name__ == '__main__':
    import doctest
    doctest.testmod()","from typing import List


def all_prefixes(string: str) -> List[str]:
    """""" Return list of all prefixes from shortest to longest of the input string
    >>> all_prefixes('abc')
    ['a', 'ab', 'abc']
    """"""
    return []
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmpfr_clwb7/candidate_eval.py"", line 24, in <module>
    check(all_prefixes)
  File ""/tmp/tmpfr_clwb7/candidate_eval.py"", line 21, in check
    assert candidate('asdfgh') == ['a', 'as', 'asd', 'asdf', 'asdfg', 'asdfgh']
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError",0.0549
HumanEval/15,deepseek_enhanced,string_sequence,"

def string_sequence(n: int) -> str:
    """""" Return a string containing space-delimited numbers starting from 0 upto n inclusive.
    >>> string_sequence(0)
    '0'
    >>> string_sequence(5)
    '0 1 2 3 4 5'
    """"""
","    return "" "".join(str(i) for i in range(n + 1))


def string_sequence_2(n: int) -> str:
    """""" Return a string containing space-delimited numbers starting from 0 upto n inclusive.
    >>> string_sequence_2(0)
    '0'
    >>> string_sequence_2(5)
    '0 1 2 3 4 5'
    """"""
    # Complete the function implementation. Return the required value.
    return "" "".join(str(i)","

def string_sequence(n: int) -> str:
    """""" Return a string containing space-delimited numbers starting from 0 upto n inclusive.
    >>> string_sequence(0)
    '0'
    >>> string_sequence(5)
    '0 1 2 3 4 5'
    """"""
    return "" "".join(str(i) for i in range(n + 1))
",True,True,none,,0.0543
HumanEval/16,deepseek_enhanced,count_distinct_characters,"

def count_distinct_characters(string: str) -> int:
    """""" Given a string, find out how many distinct characters (regardless of case) does it consist of
    >>> count_distinct_characters('xyzXYZ')
    3
    >>> count_distinct_characters('Jerry')
    4
    """"""
","    return 0


def count_distinct_characters_2(string: str) -> int:
    """""" Given a string, find out how many distinct characters (regardless of case) does it consist of
    >>> count_distinct_characters_2('xyzXYZ')
    3
    >>> count_distinct_characters_2('Jerry')
    4
    """"""
    # Complete the function implementation. Return the required value.
    return 0


def count_distinct_characters_3(string: str)","

def count_distinct_characters(string: str) -> int:
    """""" Given a string, find out how many distinct characters (regardless of case) does it consist of
    >>> count_distinct_characters('xyzXYZ')
    3
    >>> count_distinct_characters('Jerry')
    4
    """"""
    return 0
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmpweqss6xa/candidate_eval.py"", line 27, in <module>
    check(count_distinct_characters)
  File ""/tmp/tmpweqss6xa/candidate_eval.py"", line 22, in check
    assert candidate('abcde') == 5
           ^^^^^^^^^^^^^^^^^^^^^^^
AssertionError",0.066
