task_id,method,entry_point,prompt,completion,candidate_code,syntax_ok,passed,failure_type,error,elapsed_sec
HumanEval/0,deepseek_basic,has_close_elements,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
","    for i in range(len(numbers)):
        for j in range(i + 1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False


if __name__ == ""__main__"":
    import doctest
    doctest.testmod()","from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    for i in range(len(numbers)):
        for j in range(i + 1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False
",True,True,none,,0.0587
HumanEval/1,deepseek_basic,separate_paren_groups,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
","    paren_stack = []
    paren_list = []
    for char in paren_string:
        if char == '(':
            paren_stack.append(char)
        elif char == ')':
            if len(paren_stack) > 0:
                paren_stack.pop()
            else:
                paren_list.append('()')
        elif char == ' ':
            continue
        else:
            paren_list.append(char)
    return paren_list


if __name__","from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
    paren_stack = []
    paren_list = []
    for char in paren_string:
        if char == '(':
            paren_stack.append(char)
        elif char == ')':
            if len(paren_stack) > 0:
                paren_stack.pop()
            else:
                paren_list.append('()')
        elif char == ' ':
            continue
        else:
            paren_list.append(char)
    return paren_list
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmpnxozdikl/candidate_eval.py"", line 48, in <module>
    check(separate_paren_groups)
  File ""/tmp/tmpnxozdikl/candidate_eval.py"", line 37, in check
    assert candidate('(()()) ((())) () ((())()())') == [
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError",0.0554
HumanEval/2,deepseek_basic,truncate_number,"

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
","    return number - int(number)


def truncate_number_to_int(number: float) -> int:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the integer part of the number.
    >>> truncate_number_to_int(3.5)
    3
    """"""
    return int(number)


def truncate_number_to_int","

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
    return number - int(number)
",True,True,none,,0.0548
HumanEval/3,deepseek_basic,below_zero,"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
","    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False


if __name__ == ""__main__"":
    import doctest
    doctest.testmod()","from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False
",True,True,none,,0.0591
HumanEval/4,deepseek_basic,mean_absolute_deviation,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
","    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)


if __name__ == ""__main__"":
    import doctest
    doctest.testmod()","from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
",True,True,none,,0.06
HumanEval/5,deepseek_basic,intersperse,"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
","    return [delimeter] + [n for n in numbers if n != delimeter] + [delimeter]


if __name__ == ""__main__"":
    import doctest
    doctest.testmod()","from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
    return [delimeter] + [n for n in numbers if n != delimeter] + [delimeter]
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmp2zkb4m0y/candidate_eval.py"", line 26, in <module>
    check(intersperse)
  File ""/tmp/tmp2zkb4m0y/candidate_eval.py"", line 22, in check
    assert candidate([], 7) == []
           ^^^^^^^^^^^^^^^^^^^^^^
AssertionError",0.0608
HumanEval/6,deepseek_basic,parse_nested_parens,"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
","    # TODO: Implement this function
    pass


if __name__ == '__main__':
    import doctest
    doctest.testmod()","from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
    # TODO: Implement this function
    pass
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmp4fxrbhr1/candidate_eval.py"", line 28, in <module>
    check(parse_nested_parens)
  File ""/tmp/tmp4fxrbhr1/candidate_eval.py"", line 24, in check
    assert candidate('(()()) ((())) () ((())()())') == [2, 3, 1, 3]
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError",0.0552
HumanEval/7,deepseek_basic,filter_by_substring,"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
","    return [string for string in strings if substring in string]


if __name__ == '__main__':
    import doctest
    doctest.testmod()","from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
    return [string for string in strings if substring in string]
",True,True,none,,0.0779
HumanEval/8,deepseek_basic,sum_product,"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
","    sum_of_numbers = 0
    product_of_numbers = 1
    for number in numbers:
        sum_of_numbers += number
        product_of_numbers *= number
    return sum_of_numbers, product_of_numbers


if __name__ == ""__main__"":
    import doctest
    doctest.testmod()","from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
    sum_of_numbers = 0
    product_of_numbers = 1
    for number in numbers:
        sum_of_numbers += number
        product_of_numbers *= number
    return sum_of_numbers, product_of_numbers
",True,True,none,,0.0567
HumanEval/9,deepseek_basic,rolling_max,"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
","    max_so_far = numbers[0]
    rolling_max = [max_so_far]
    for i in range(1, len(numbers)):
        max_so_far = max(max_so_far, numbers[i])
        rolling_max.append(max_so_far)
    return rolling_max


def rolling_min(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling minimum element found until given moment
    in the sequence.
","from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    max_so_far = numbers[0]
    rolling_max = [max_so_far]
    for i in range(1, len(numbers)):
        max_so_far = max(max_so_far, numbers[i])
        rolling_max.append(max_so_far)
    return rolling_max
",True,False,runtime_error,"Traceback (most recent call last):
  File ""/tmp/tmp6q5pvj1z/candidate_eval.py"", line 31, in <module>
    check(rolling_max)
  File ""/tmp/tmp6q5pvj1z/candidate_eval.py"", line 26, in check
    assert candidate([]) == []
           ^^^^^^^^^^^^^
  File ""/tmp/tmp6q5pvj1z/candidate_eval.py"", line 10, in rolling_max
    max_so_far = numbers[0]
                 ~~~~~~~^^^
IndexError: list index out of range",0.0553
HumanEval/10,deepseek_basic,make_palindrome,"

def is_palindrome(string: str) -> bool:
    """""" Test if given string is a palindrome """"""
    return string == string[::-1]


def make_palindrome(string: str) -> str:
    """""" Find the shortest palindrome that begins with a supplied string.
    Algorithm idea is simple:
    - Find the longest postfix of supplied string that is a palindrome.
    - Append to the end of the string reverse of a string prefix that comes before the palindromic suffix.
    >>> make_palindrome('')
    ''
    >>> make_palindrome('cat')
    'catac'
    >>> make_palindrome('cata')
    'catac'
    """"""
","    if not string:
        return string
    suffix = string[::-1]
    for i in range(len(string)):
        if is_palindrome(string[:i]):
            return string + suffix[i:]
    return string + suffix


def main():
    """""" Main function """"""
    print(make_palindrome(input()))


if __name__ == '__main__':
    main()","

def is_palindrome(string: str) -> bool:
    """""" Test if given string is a palindrome """"""
    return string == string[::-1]


def make_palindrome(string: str) -> str:
    """""" Find the shortest palindrome that begins with a supplied string.
    Algorithm idea is simple:
    - Find the longest postfix of supplied string that is a palindrome.
    - Append to the end of the string reverse of a string prefix that comes before the palindromic suffix.
    >>> make_palindrome('')
    ''
    >>> make_palindrome('cat')
    'catac'
    >>> make_palindrome('cata')
    'catac'
    """"""
    if not string:
        return string
    suffix = string[::-1]
    for i in range(len(string)):
        if is_palindrome(string[:i]):
            return string + suffix[i:]
    return string + suffix
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmpgsd5i8xk/candidate_eval.py"", line 43, in <module>
    check(make_palindrome)
  File ""/tmp/tmpgsd5i8xk/candidate_eval.py"", line 38, in check
    assert candidate('x') == 'x'
           ^^^^^^^^^^^^^^^^^^^^^
AssertionError",0.0563
