task_id,method,entry_point,prompt,completion,candidate_code,syntax_ok,passed,failure_type,error,elapsed_sec
HumanEval/0,baseline_none,has_close_elements,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
",return None,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    return None
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmpmo6e2bdy/candidate_eval.py"", line 32, in <module>
    check(has_close_elements)
  File ""/tmp/tmpmo6e2bdy/candidate_eval.py"", line 23, in check
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3) == True
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError",0.0786
HumanEval/1,baseline_none,separate_paren_groups,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
",return None,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
    return None
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmp53uwr0re/candidate_eval.py"", line 34, in <module>
    check(separate_paren_groups)
  File ""/tmp/tmp53uwr0re/candidate_eval.py"", line 23, in check
    assert candidate('(()()) ((())) () ((())()())') == [
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError",0.077
HumanEval/2,baseline_none,truncate_number,"

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
",return None,"

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
    return None
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmprr30eb70/candidate_eval.py"", line 27, in <module>
    check(truncate_number)
  File ""/tmp/tmprr30eb70/candidate_eval.py"", line 23, in check
    assert candidate(3.5) == 0.5
           ^^^^^^^^^^^^^^^^^^^^^
AssertionError",0.0775
HumanEval/3,baseline_none,below_zero,"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
",return None,"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
    return None
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmplptskny2/candidate_eval.py"", line 31, in <module>
    check(below_zero)
  File ""/tmp/tmplptskny2/candidate_eval.py"", line 24, in check
    assert candidate([]) == False
           ^^^^^^^^^^^^^^^^^^^^^^
AssertionError",0.0902
HumanEval/4,baseline_none,mean_absolute_deviation,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
",return None,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
    return None
",True,False,runtime_error,"Traceback (most recent call last):
  File ""/tmp/tmptjprbrcf/candidate_eval.py"", line 29, in <module>
    check(mean_absolute_deviation)
  File ""/tmp/tmptjprbrcf/candidate_eval.py"", line 24, in check
    assert abs(candidate([1.0, 2.0, 3.0]) - 2.0/3.0) < 1e-6
               ~~~~~~~~~~~~~~~~~~~~~~~~~~~^~~~~~~~~
TypeError: unsupported operand type(s) for -: 'NoneType' and 'float'",0.0851
HumanEval/5,baseline_none,intersperse,"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
",return None,"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
    return None
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmpp8zr0gmf/candidate_eval.py"", line 26, in <module>
    check(intersperse)
  File ""/tmp/tmpp8zr0gmf/candidate_eval.py"", line 22, in check
    assert candidate([], 7) == []
           ^^^^^^^^^^^^^^^^^^^^^^
AssertionError",0.0827
HumanEval/6,baseline_none,parse_nested_parens,"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
",return None,"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
    return None
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmpepqy_52t/candidate_eval.py"", line 27, in <module>
    check(parse_nested_parens)
  File ""/tmp/tmpepqy_52t/candidate_eval.py"", line 23, in check
    assert candidate('(()()) ((())) () ((())()())') == [2, 3, 1, 3]
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError",0.0848
HumanEval/7,baseline_none,filter_by_substring,"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
",return None,"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
    return None
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmplvs8gwpq/candidate_eval.py"", line 27, in <module>
    check(filter_by_substring)
  File ""/tmp/tmplvs8gwpq/candidate_eval.py"", line 22, in check
    assert candidate([], 'john') == []
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError",0.0846
HumanEval/8,baseline_none,sum_product,"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
",return None,"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
    return None
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmpelovuogv/candidate_eval.py"", line 29, in <module>
    check(sum_product)
  File ""/tmp/tmpelovuogv/candidate_eval.py"", line 23, in check
    assert candidate([]) == (0, 1)
           ^^^^^^^^^^^^^^^^^^^^^^^
AssertionError",0.0648
HumanEval/9,baseline_none,rolling_max,"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
",return None,"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    return None
",True,False,assertion_failed,"Traceback (most recent call last):
  File ""/tmp/tmpre845ezd/candidate_eval.py"", line 26, in <module>
    check(rolling_max)
  File ""/tmp/tmpre845ezd/candidate_eval.py"", line 21, in check
    assert candidate([]) == []
           ^^^^^^^^^^^^^^^^^^^
AssertionError",0.0568
